method,pdt,repl,type,mrae
latc,0.3,24,o,0.004303908652045355
latc,0.3,25,overall,0.0043392497896271014
latc,0.3,25,w,0.004414213989965776
latc,0.3,25,o,0.00422266380764452
latc,0.3,26,overall,0.004337173346846203
latc,0.3,26,w,0.004279625479966956
latc,0.3,26,o,0.004427643980577678
latc,0.3,27,overall,0.004379153956825212
latc,0.3,27,w,0.004403043499912945
latc,0.3,27,o,0.004341358511596003
latc,0.3,28,overall,0.004336774182606209
latc,0.3,28,w,0.004362443879897718
latc,0.3,28,o,0.004296430603235832
latc,0.3,29,overall,0.004256209617668207
latc,0.3,29,w,0.004232530697308856
latc,0.3,29,o,0.0042936945688958105
latc,0.3,3,overall,0.004366102357961157
latc,0.3,3,w,0.0044925419031827864
latc,0.3,3,o,0.0041674148524469155
latc,0.3,30,overall,0.0042870058612589565
latc,0.3,30,w,0.004251482947305364
latc,0.3,30,o,0.004342476859999419
latc,0.3,31,overall,0.004355125208474303
latc,0.3,31,w,0.004380304764339134
latc,0.3,31,o,0.004314876436307499
latc,0.3,32,overall,0.004236933770567023
